"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 12 02:42:02 IST 2022","Sat Nov 12 02:42:29 IST 2022","27099","","place-order-tests.spec.ts","Order Submission","","","Place order from existing user",""
"broken","Sat Nov 12 23:06:22 IST 2022","Sat Nov 12 23:06:54 IST 2022","31536","firefox","place-order-tests.spec.ts","Order Submission","","","Place order from existing user",""
"broken","Sat Nov 12 22:19:55 IST 2022","Sat Nov 12 22:20:27 IST 2022","32781","chromium","place-order-tests.spec.ts","Order Submission","","","Place order from existing user",""
